D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\MAD #9.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:30:02 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,13806.45,2000.14,0.00,0.00,33.33,300.00,0.00
0.8288,11604.55,1700.10,10.00,50.72,33.33,100.00,0.00
1.2288,16809.55,3500.42,10.00,7.25,16.67,50.00,0.00
1.6288,12004.87,2300.18,20.00,28.99,50.00,0.00,0.00
2.0288,13606.26,1000.03,0.00,28.99,0.00,50.00,40.00
2.4288,11004.09,1100.04,10.00,7.25,16.67,0.00,0.00
2.8288,12004.87,1800.11,10.00,0.00,50.00,100.00,0.00
3.2288,13606.26,2100.15,20.00,14.49,16.67,50.00,60.00
3.6288,15408.03,2800.27,10.00,14.49,16.67,0.00,40.00
4.0288,12805.55,1100.04,10.00,21.74,16.67,0.00,0.00
4.4288,11404.40,1100.04,40.00,14.49,0.00,0.00,0.00
4.8288,13205.90,3100.33,10.00,7.25,16.67,0.00,20.00
5.2288,11604.55,2100.15,10.00,7.25,33.33,0.00,0.00
5.6288,16208.88,2600.23,0.00,7.25,16.67,150.00,0.00
6.0289,13806.45,1900.12,0.00,14.49,33.33,0.00,0.00
6.4288,12405.20,1800.11,20.00,14.49,183.33,2250.19,220.00
6.8289,181912.52,14407.08,1260.06,1601.55,48806.81,130299.79,8582.84
7.2289,1711457.23,112832.51,6731.72,1021.78,15325.57,105526.60,6081.43
7.6289,2840908.44,98831.99,2090.17,478.27,12455.88,412750.49,20355.98
8.0289,3239506.55,310656.69,2070.16,297.10,12339.10,495517.82,26126.32
8.4289,3493214.06,413037.11,1830.13,347.83,12572.66,683983.69,25244.58
8.8289,6017652.23,368165.16,1880.13,318.84,12672.75,556252.25,23902.03
9.2289,3521988.60,352384.42,1720.11,195.65,12739.48,529988.33,26627.34
9.6289,5274529.29,345319.26,1800.12,311.60,14224.33,640237.79,30295.39
10.0289,3760353.00,336006.62,1900.14,311.60,13089.83,598832.81,26006.08
10.4289,3960806.52,343169.68,1870.13,275.37,13640.38,646748.54,24623.38
