D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_41 #30.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 15:29:34 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,19012.22,700.02,40.00,21.74,50.00,0.00,20.00
0.8287,21014.93,300.00,30.00,7.25,33.33,0.00,0.00
1.2287,16409.10,1200.05,20.00,14.49,16.67,0.00,0.00
1.6287,17610.48,900.03,30.00,28.99,116.67,0.00,0.00
2.0287,15608.24,1000.03,20.00,28.99,33.33,0.00,0.00
2.4287,20814.65,600.01,30.00,21.74,66.67,0.00,0.00
2.8287,16809.55,500.01,30.00,14.49,33.33,0.00,0.00
3.2287,20414.09,500.01,10.00,7.25,16.67,0.00,0.00
3.6287,22216.68,500.01,60.00,36.23,33.33,0.00,20.00
4.0287,22817.60,500.01,10.00,21.74,33.33,50.00,0.00
4.4288,19012.22,800.02,30.00,14.49,16.67,0.00,0.00
4.8288,18211.21,800.02,10.00,28.99,83.33,0.00,0.00
5.2288,16208.88,200.00,20.00,7.25,83.33,0.00,0.00
5.6288,20213.81,600.01,20.00,14.49,66.67,0.00,20.00
6.0288,17009.78,200.00,30.00,28.99,16.67,0.00,20.00
6.4288,17210.01,700.02,30.00,36.23,66.67,0.00,0.00
6.8288,16609.33,500.01,20.00,913.08,5234.37,1200.06,1260.06
7.2288,2173676.95,220140.38,3370.43,2065.38,3867.23,5201.04,4180.67
7.6288,6171804.66,561759.67,1490.08,905.83,1683.44,6801.78,4860.91
8.0288,6019639.29,664839.70,990.04,637.70,1616.77,6701.73,5381.12
8.4288,7580932.84,673522.85,880.03,659.44,1366.74,6551.65,5461.15
8.8288,6865223.20,681582.76,720.02,536.24,1366.74,6301.53,5681.25
9.2288,7245216.26,779062.70,860.03,442.04,1250.06,4750.87,4940.94
9.6288,7401050.10,635062.26,580.01,463.78,1166.72,5451.14,5121.01
10.0288,7098095.05,602114.94,700.02,420.30,1116.71,5601.21,4240.69
10.4289,9494094.46,586084.62,560.01,557.98,1200.05,6351.55,5461.15
10.8289,6152850.86,688285.25,650.02,384.06,1000.04,6151.46,4960.95
11.2289,5952434.84,627027.29,580.01,347.83,1050.04,4800.89,5241.06
11.6289,8946395.96,669546.78,560.01,304.35,883.36,5751.27,5541.19
12.0289,10428715.36,620143.60,580.01,449.28,1116.71,4850.90,4260.70
12.4289,9580940.55,656161.57,480.01,376.82,1150.05,6201.48,5101.00
12.8289,8603851.94,498844.38,540.01,471.02,933.37,5401.12,4640.83
13.2289,7155975.47,583067.87,450.01,304.35,1066.71,5251.06,4380.74
13.6289,6702358.12,561240.38,570.01,391.31,1016.71,6001.39,4600.82
14.0289,8467685.21,512503.61,570.01,456.53,700.02,6101.43,4900.93
14.4289,8153419.03,673522.85,550.01,391.31,916.70,4950.94,4380.74
14.8289,6783905.30,563629.44,650.02,463.78,1066.71,5000.96,4220.69
15.2289,7236019.59,529595.17,550.01,427.54,1183.39,5751.27,4940.94
15.6289,6049394.72,503292.63,550.01,427.54,1033.37,6301.53,4420.75
16.0290,5608209.43,506086.33,610.01,369.57,1016.71,6101.43,4940.94
16.4290,6864688.22,721527.69,590.01,340.58,966.70,5801.29,4500.78
16.8290,8558760.25,624210.84,540.01,326.09,950.03,6451.60,4420.75
17.2290,5904846.54,498430.66,520.01,529.00,1033.37,4900.92,4760.87
17.6290,7936163.68,464647.90,410.01,550.74,1133.38,5501.16,4920.93
18.0290,6050592.07,623376.46,450.01,376.82,1083.38,5551.19,5521.18
18.4290,10267302.38,723417.48,600.01,355.08,1383.41,7051.91,5221.05
18.8290,5902935.87,579531.74,460.01,297.10,1250.06,6001.39,5000.97
19.2290,7043348.13,658356.74,420.01,449.28,1083.38,5901.34,4840.90
19.6290,7375472.66,590350.78,660.02,521.75,1150.05,6601.68,5481.16
20.0290,8748858.68,557501.71,540.01,333.34,1100.05,5050.98,4940.94
20.4290,5545081.06,546810.16,610.01,434.79,1233.39,5251.06,5901.34
20.8290,6449793.68,712921.63,600.01,391.31,1000.04,5801.29,4740.87
21.2290,5589816.09,521720.26,570.01,362.32,1250.06,5501.16,4760.87
21.6291,5310374.96,468156.88,730.02,449.28,1283.40,5201.04,4820.90
22.0291,4789247.45,541519.09,590.01,449.28,1183.39,4550.80,4320.72
22.4291,6813558.82,452579.05,520.01,507.26,800.02,4250.70,3940.60
22.8291,6622772.55,501430.42,470.01,514.50,1000.04,5501.16,4000.62
23.2291,11585661.24,512710.64,620.01,369.57,1000.04,4350.73,4280.71
23.6291,5110748.68,467640.82,580.01,434.79,1083.38,5301.08,4380.74
24.0291,5164298.26,428264.79,510.01,391.31,1000.04,5201.04,4680.85
24.4291,4924930.14,473318.70,460.01,398.56,1083.38,5351.10,4380.74
24.8291,4332216.38,477139.65,430.01,369.57,1016.71,4100.65,3660.52
25.2291,4994427.40,413551.32,570.01,463.78,1050.04,4300.71,3300.42
25.6291,5336512.86,375856.67,570.01,362.32,966.70,4450.76,3560.49
26.0291,4580016.89,384167.99,610.01,340.58,916.70,5050.98,3940.60
26.4291,4474293.43,378934.40,470.01,420.30,1050.04,4600.81,4180.67
26.8291,6140367.85,398030.52,460.01,449.28,1100.05,4700.85,4400.75
27.2291,5817847.59,395359.67,460.01,355.08,966.70,4150.66,4100.65
27.6292,3851849.72,449176.81,550.01,449.28,966.70,4750.87,3840.57
28.0292,4836988.60,418385.64,600.01,398.56,1000.04,4550.80,3880.58
28.4292,6081264.61,339792.38,550.01,485.52,816.69,3750.54,3220.40
28.8292,4442856.62,355457.30,360.00,326.09,833.36,3750.54,3580.49
29.2292,4306282.29,355764.60,490.01,347.83,950.03,5000.96,3700.53
29.6292,3675074.99,383346.90,440.01,478.27,1000.04,3850.57,3560.49


          Printed:2025-06-04 15:30:07
