D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\DUR #03.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 11:57:03 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4286,15207.82,2200.17,30.00,21.74,66.67,100.00,0.00
0.8286,17210.01,1100.04,20.00,43.48,100.00,100.00,0.00
1.2286,16409.10,500.01,30.00,43.48,133.33,0.00,0.00
1.6286,12205.04,600.01,60.00,7.25,83.33,100.00,0.00
2.0286,13205.90,500.01,50.00,21.74,33.33,1500.09,0.00
2.4286,12004.87,1400.07,50.00,36.23,66.67,0.00,20.00
2.8286,12805.55,1200.05,40.00,21.74,66.67,50.00,0.00
3.2286,13606.26,700.02,30.00,36.23,66.67,0.00,0.00
3.6287,43062.64,800.02,30.00,43.48,50.00,0.00,0.00
4.0287,11804.71,200.00,30.00,21.74,100.00,0.00,40.00
4.4287,15408.03,1100.04,40.00,14.49,100.00,200.00,0.00
4.8287,17610.48,1100.04,10.00,21.74,66.67,0.00,0.00
5.2287,11604.55,1200.05,20.00,21.74,66.67,0.00,0.00
5.6287,10603.80,300.00,20.00,36.23,50.00,150.00,0.00
6.0287,13806.45,300.00,40.00,43.48,116.67,0.00,0.00
6.4287,12605.37,700.02,0.00,36.23,416.67,450.01,20.00
6.8287,51288.82,4700.75,2560.25,2565.47,6501.60,47135.31,2920.33
7.2287,1502244.92,148548.74,2730.28,1601.55,3133.71,190231.85,13687.23
7.6287,11633096.68,573813.28,790.02,434.79,1216.72,394548.17,16630.67
8.0287,6931969.10,698554.25,410.01,224.64,833.36,375496.17,21177.30
8.4287,9051049.46,912222.46,170.00,108.70,716.69,367214.58,19835.18
8.8287,11757162.53,765474.22,170.00,50.72,833.36,382959.23,21377.63
9.2288,9730481.93,782013.72,210.00,101.45,616.68,336038.04,17752.16
9.6288,8196905.77,678965.48,130.00,86.96,800.02,389293.26,19815.15
10.0288,12914694.35,730243.70,210.00,108.70,516.68,369734.50,18232.82
10.4288,6627077.92,628070.56,120.00,94.20,633.35,409396.92,17972.46
10.8288,7849037.36,685457.28,170.00,50.72,700.02,360685.52,20015.45
11.2288,8796574.35,823917.68,150.00,65.22,716.69,366494.65,18793.62
11.6288,9256611.54,614618.07,180.00,36.23,683.35,348715.48,17812.24
12.0288,7441785.48,615035.01,170.00,57.97,633.35,358372.88,17251.48
12.4288,10697711.52,953210.64,160.00,50.72,866.70,373643.92,17251.48
12.8288,6770963.73,642057.28,130.00,72.46,616.68,359349.27,19274.33
13.2288,5774335.38,732764.89,130.00,65.22,633.35,341938.96,19274.33
13.6288,5890172.63,728563.13,110.00,65.22,516.68,324551.64,18533.25
14.0288,7080465.99,755159.42,70.00,57.97,633.35,310617.36,17351.61
14.4288,6610722.62,641743.99,100.00,57.97,450.01,326807.10,16330.29
14.8288,7552094.54,516127.44,120.00,72.46,483.34,346045.51,18132.68
15.2289,6998103.59,656161.57,80.00,86.96,750.02,360736.91,19514.69
15.6289,6813278.59,646757.23,100.00,36.23,466.67,329780.81,16490.49
16.0289,6963125.68,596387.89,150.00,57.97,816.69,373386.67,18152.71
16.4289,6530525.64,672790.33,150.00,72.46,700.02,349023.56,17351.61
16.8289,10111213.78,562590.67,130.00,79.71,683.35,344710.74,16770.85
17.2289,6281833.48,694781.15,150.00,43.48,550.01,360942.50,15769.59
17.6289,5804243.66,618266.80,150.00,50.72,850.03,329062.96,16550.57
18.0289,6921575.08,560305.62,300.00,43.48,766.69,330652.54,16410.39
18.4289,6971481.65,671220.80,150.00,65.22,550.01,291175.00,15649.45
18.8289,8197084.10,610866.06,160.00,36.23,666.68,324859.18,14307.90
19.2289,7296473.03,539133.54,110.00,86.96,683.35,333986.16,15389.14
19.6289,6243773.04,589518.26,120.00,57.97,566.68,338038.92,16991.14
20.0289,7021744.88,581819.68,170.00,21.74,683.35,354005.62,17471.78
20.4289,6870445.69,567993.07,90.00,86.96,483.34,305651.71,17712.10
20.8290,6640987.56,571838.33,180.00,65.22,516.68,345737.48,17231.46
21.2290,7612598.93,593785.35,160.00,65.22,583.35,344094.75,17211.43
21.6290,5938015.68,538511.33,180.00,50.72,550.01,326602.05,16470.47
22.0290,8601380.81,624106.54,140.00,57.97,650.02,352721.39,15649.45
22.4290,6072934.11,581091.65,130.00,72.46,433.34,319990.65,14948.62
22.8290,5201670.86,495121.34,120.00,72.46,716.69,294038.40,18212.80
23.2290,5604413.57,517577.25,170.00,101.45,600.01,306573.02,15329.07
23.6290,6590749.80,576620.21,130.00,65.22,450.01,292555.49,15809.64
24.0290,6848995.29,587125.05,200.00,50.72,616.68,330908.94,16850.95
24.4290,14178255.33,497293.02,110.00,43.48,583.35,330498.71,16490.49
24.8290,11510712.22,477242.92,90.00,57.97,383.34,315482.42,15349.09
25.2290,5984610.44,511468.36,230.00,108.70,516.68,279778.78,15088.78
25.6290,6318849.44,506189.84,190.00,43.48,583.35,305754.08,15509.28
26.0290,5722314.34,644563.72,130.00,50.72,583.35,333832.28,15829.67
26.4291,8531654.28,574956.79,100.00,28.99,583.35,317633.89,16810.90
26.8291,7310561.00,606594.04,180.00,28.99,616.68,336397.14,16931.06
27.2291,7372492.03,620039.31,80.00,65.22,450.01,327678.66,16230.16
27.6291,6816794.21,610344.97,90.00,43.48,533.34,295419.17,14908.58
28.0291,6027434.81,513953.03,160.00,43.48,683.35,339783.52,15929.79
28.4291,7537089.45,589310.16,80.00,57.97,566.68,332293.60,16530.54
28.8291,9796234.29,577659.96,90.00,57.97,416.67,288925.63,15869.72
29.2291,10793321.19,496362.26,80.00,50.72,433.34,306521.85,15869.72
29.6291,6392346.35,554802.15,180.00,50.72,416.67,319683.20,16690.75


          Printed:2025-06-04 11:57:37
