D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_44C #28.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 12:54:07 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4289,23618.86,400.01,60.00,36.23,66.67,0.00,0.00
0.8289,28627.69,1800.11,40.00,28.99,16.67,0.00,0.00
1.2289,27826.17,700.02,20.00,28.99,66.67,50.00,0.00
1.6289,24420.16,800.02,30.00,21.74,116.67,0.00,20.00
2.0289,19613.00,1400.07,70.00,21.74,133.33,0.00,20.00
2.4290,23819.18,200.00,40.00,36.23,66.67,0.00,0.00
2.8290,22216.68,700.02,40.00,14.49,100.00,0.00,0.00
3.2290,21014.93,900.03,50.00,21.74,16.67,0.00,0.00
3.6290,19412.74,500.01,20.00,21.74,83.33,0.00,0.00
4.0290,18811.96,600.01,30.00,43.48,50.00,0.00,20.00
4.4290,18211.21,600.01,30.00,14.49,50.00,0.00,0.00
4.8290,31433.39,900.03,10.00,28.99,100.00,0.00,20.00
5.2290,17810.72,800.02,30.00,21.74,0.00,0.00,0.00
5.6290,18611.71,1000.03,50.00,28.99,100.00,0.00,20.00
6.0290,23017.91,1100.04,50.00,14.49,100.00,50.00,0.00
6.4290,24420.16,900.03,40.00,0.00,150.00,0.00,0.00
6.8290,18211.21,600.01,680.02,2391.52,6151.43,800.02,820.03
7.2290,2345162.50,231818.31,2530.24,1623.29,2833.64,4350.73,2780.30
7.6290,5152681.41,536229.93,970.04,681.18,1083.38,5151.02,3160.39
8.0291,6081544.84,639446.78,390.01,311.60,833.36,4200.68,2960.34
8.4291,8005584.51,473525.24,300.00,340.58,666.68,4400.74,3120.38
8.8291,8873561.41,698763.87,360.00,304.35,833.36,5901.34,3080.37
9.2291,8225132.66,548470.46,410.01,297.10,633.35,5601.21,2840.31
9.6291,8853614.07,588997.95,490.01,355.08,550.01,5651.23,3220.40
10.0291,6937369.91,754528.17,320.00,202.90,566.68,5101.00,2480.24
10.4291,4965410.77,538511.33,370.01,326.09,683.35,5251.06,2680.28
10.8291,6551262.73,698973.54,340.00,413.05,566.68,5301.08,3320.43
11.2291,7761605.33,552206.84,240.00,246.38,733.35,6001.39,3060.36
11.6291,5950778.93,659193.12,340.00,217.39,516.68,4450.76,3000.35
12.0291,6299105.90,666513.13,430.01,268.12,500.01,5501.16,2920.33
12.4291,6852256.16,686504.64,300.00,173.91,666.68,4800.89,3180.39
12.8291,8029964.60,660865.97,450.01,188.41,650.02,5000.96,3200.40
13.2291,6767702.86,620560.69,290.00,210.15,516.68,4050.63,3440.46
13.6292,11273917.13,539133.54,300.00,239.13,600.01,4150.66,2600.26
14.0292,7448230.79,590350.78,230.00,202.90,583.35,4750.87,3480.47
14.4292,7708641.69,598261.96,330.00,195.65,583.35,6101.43,2880.32
14.8292,6838244.61,611908.20,450.01,173.91,650.02,5601.21,3500.47
15.2292,7698451.48,664316.80,320.00,333.34,633.35,5801.29,3060.36
15.6292,6360221.70,617536.96,320.00,152.17,600.01,5401.12,2760.29
16.0292,6637701.21,596700.20,200.00,224.64,566.68,5101.00,2580.26
16.4292,6004710.63,550027.20,290.00,181.16,400.01,4550.80,3220.40
16.8292,7618509.25,618058.25,320.00,202.90,533.34,3750.54,2780.30
17.2292,8207911.20,556048.00,330.00,224.64,683.35,4750.87,3560.49
17.6292,6872738.49,628592.19,190.00,159.42,583.35,4450.76,2680.28
18.0292,6129540.75,557605.52,290.00,253.63,383.34,4650.83,2260.20
18.4292,5695437.65,497706.69,160.00,253.63,500.01,4300.71,2320.21
18.8293,4875482.13,486127.78,240.00,275.37,450.01,3600.50,1940.15
19.2292,6632758.96,555217.38,310.00,210.15,500.01,4250.70,2400.22
19.6293,6097365.15,542556.40,300.00,137.68,550.01,4950.94,2720.29
20.0293,6873579.18,470840.82,340.00,224.64,466.67,4050.63,2480.24
20.4293,6744239.89,459076.42,370.01,282.61,483.34,3350.43,2420.23
20.8293,6805890.69,561967.43,280.00,101.45,450.01,3400.44,2080.17
21.2293,5538279.09,459798.54,210.00,159.42,500.01,4150.66,2240.19
21.6293,5949963.71,582547.80,270.00,217.39,516.68,3550.48,1960.15
22.0293,5862200.50,598678.47,200.00,282.61,516.68,4650.83,2200.19
22.4293,6537225.71,532704.88,280.00,166.67,500.01,4250.70,2160.18
22.8293,5268798.89,551272.66,240.00,152.17,450.01,3650.51,2300.20
23.2293,4955933.87,447218.26,230.00,217.39,416.67,3950.60,2480.24
23.6293,4954609.14,478379.05,180.00,195.65,533.34,3600.50,2260.20
24.0293,5415614.39,501844.24,300.00,246.38,566.68,3350.43,1980.15
24.4293,7856883.82,438150.54,200.00,231.89,300.00,3550.48,2380.22
24.8293,6246091.31,529698.83,170.00,173.91,433.34,3500.47,2360.21
25.2294,5401908.56,456497.75,270.00,159.42,533.34,3950.60,2400.22
25.6294,5316616.47,478379.05,180.00,239.13,466.67,3900.59,1820.13
26.0294,7736613.83,483544.38,350.00,144.93,400.01,3800.56,2280.20
26.4294,6192236.03,494707.71,230.00,166.67,350.00,4500.78,2160.18
26.8294,5667083.39,574956.79,190.00,130.44,500.01,3100.37,2100.17
27.2294,5704659.80,495017.92,320.00,130.44,650.02,4200.68,1920.14
27.6294,4372212.97,493777.15,340.00,202.90,483.34,3550.48,2520.25
28.0294,5371414.34,445569.14,350.00,173.91,466.67,4050.63,2380.22
28.4294,5385349.46,427544.24,300.00,166.67,416.67,2750.29,2280.20
28.8294,6577757.28,498327.25,190.00,173.91,533.34,3250.41,2020.16
29.2294,4707521.94,458560.64,240.00,217.39,333.34,3150.38,1880.14
29.6294,5779379.54,443508.06,140.00,152.17,483.34,3300.42,2240.19


          Printed:2025-06-04 12:54:40
