D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_45B #03.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 14:02:00 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4293,17410.25,1200.05,20.00,14.49,50.00,0.00,0.00
0.8293,17410.25,600.01,50.00,43.48,0.00,0.00,0.00
1.2293,16208.88,1600.09,40.00,14.49,16.67,0.00,20.00
1.6293,17610.48,1100.04,50.00,50.72,66.67,0.00,20.00
2.0293,18611.71,400.01,0.00,28.99,16.67,0.00,0.00
2.4293,24820.82,500.01,20.00,21.74,50.00,50.00,0.00
2.8293,18211.21,900.03,30.00,28.99,50.00,50.00,0.00
3.2293,16208.88,600.01,30.00,43.48,33.33,0.00,40.00
3.6293,18611.71,100.00,30.00,21.74,50.00,0.00,0.00
4.0293,16609.33,700.02,30.00,7.25,66.67,0.00,0.00
4.4293,20213.81,400.01,50.00,36.23,50.00,0.00,0.00
4.8293,18211.21,600.01,80.00,7.25,66.67,0.00,0.00
5.2294,17210.01,300.00,0.00,28.99,16.67,0.00,20.00
5.6294,19212.48,600.01,30.00,21.74,50.00,0.00,0.00
6.0294,17610.48,200.00,30.00,21.74,100.00,0.00,0.00
6.4294,21415.50,500.01,10.00,21.74,66.67,0.00,0.00
6.8294,30030.47,2500.21,2080.16,2855.38,6068.06,1600.10,1480.08
7.2294,3334853.13,246657.50,1630.10,1036.27,1650.10,3900.59,3480.47
7.6294,5479430.61,547017.68,830.03,463.78,816.69,3050.36,3000.35
8.0294,5257844.41,533741.55,440.01,275.37,550.01,3300.42,2840.31
8.4294,5925201.49,474351.32,300.00,202.90,433.34,4000.62,3240.41
8.8294,5397068.21,531357.28,340.00,202.90,566.68,4650.83,3720.53
9.2294,5359848.45,473835.01,260.00,246.38,433.34,3550.48,3420.45
9.6294,5266633.47,570798.97,280.00,144.93,466.67,3700.53,3400.45
