D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_44A #38.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 13:54:56 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4286,24219.83,700.02,10.00,43.48,66.67,0.00,0.00
0.8286,19012.22,700.02,40.00,7.25,50.00,0.00,0.00
1.2286,17610.48,400.01,20.00,43.48,116.67,0.00,0.00
1.6287,17009.78,500.01,60.00,14.49,50.00,50.00,0.00
2.0287,16809.55,300.00,40.00,43.48,50.00,0.00,0.00
2.4287,18211.21,500.01,60.00,28.99,83.33,0.00,0.00
2.8287,18611.71,800.02,10.00,14.49,50.00,0.00,0.00
3.2287,20414.09,700.02,60.00,43.48,83.33,0.00,0.00
3.6287,13806.45,500.01,30.00,43.48,33.33,0.00,0.00
4.0287,15007.62,400.01,0.00,14.49,100.00,0.00,0.00
4.4287,15207.82,500.01,30.00,36.23,50.00,0.00,0.00
4.8287,17210.01,400.01,30.00,28.99,66.67,0.00,0.00
5.2287,16208.88,400.01,0.00,14.49,0.00,0.00,0.00
5.6287,17410.25,800.02,40.00,21.74,100.00,50.00,0.00
6.0287,15207.82,1000.03,0.00,36.23,50.00,0.00,0.00
6.4287,16809.55,700.02,30.00,7.25,50.00,0.00,0.00
6.8287,16609.33,800.02,40.00,36.23,283.34,0.00,0.00
7.2288,16208.88,700.02,140.00,50.72,116.67,0.00,20.00
7.6288,20414.09,300.00,40.00,28.99,133.33,0.00,0.00
8.0288,15608.24,1200.05,50.00,14.49,83.33,0.00,0.00
8.4288,14407.02,600.01,10.00,14.49,16.67,0.00,0.00
8.8288,15808.45,300.00,30.00,21.74,33.33,0.00,40.00
9.2288,13406.08,300.00,20.00,21.74,50.00,0.00,0.00
9.6288,18010.97,900.03,10.00,14.49,66.67,0.00,0.00
10.0288,21215.21,1200.05,30.00,14.49,50.00,0.00,20.00
10.4288,15408.03,300.00,30.00,21.74,16.67,0.00,0.00
10.8288,18211.21,200.00,20.00,36.23,33.33,0.00,0.00
11.2288,15207.82,800.02,20.00,14.49,33.33,0.00,20.00
11.6288,13806.45,800.02,20.00,36.23,50.00,0.00,0.00
12.0288,18611.71,700.02,20.00,21.74,33.33,0.00,20.00
12.4288,13606.26,500.01,50.00,21.74,33.33,0.00,0.00
12.8289,21615.79,1000.03,10.00,14.49,0.00,0.00,20.00
13.2289,15207.82,600.01,20.00,7.25,83.33,0.00,20.00
13.6289,17410.25,500.01,10.00,28.99,116.67,0.00,0.00
14.0289,18010.97,700.02,40.00,14.49,116.67,0.00,0.00
14.4289,17810.72,1100.04,10.00,14.49,0.00,50.00,0.00
14.8289,16809.55,800.02,40.00,14.49,50.00,50.00,20.00
15.2289,19613.00,600.01,50.00,21.74,83.33,0.00,0.00
15.6289,18411.46,900.03,20.00,21.74,33.33,0.00,0.00
16.0289,21615.79,1100.04,30.00,21.74,50.00,50.00,0.00
16.4289,14807.41,1600.09,10.00,7.25,50.00,0.00,0.00
16.8289,22617.29,1200.05,60.00,14.49,33.33,0.00,0.00
17.2289,17610.48,300.00,30.00,28.99,50.00,0.00,0.00
17.6289,20213.81,800.02,30.00,14.49,66.67,0.00,0.00
18.0289,13406.08,700.02,10.00,14.49,83.33,0.00,20.00
18.4289,14407.02,500.01,30.00,65.22,33.33,0.00,0.00
18.8290,14607.21,300.00,40.00,21.74,100.00,0.00,0.00
19.2290,15808.45,700.02,10.00,21.74,133.33,0.00,0.00
19.6290,18811.96,200.00,10.00,36.23,100.00,0.00,0.00
20.0290,18811.96,700.02,20.00,28.99,33.33,0.00,0.00
20.4290,16809.55,300.00,0.00,50.72,50.00,0.00,20.00
20.8290,17810.72,600.01,20.00,14.49,33.33,0.00,20.00
21.2290,19813.27,300.00,20.00,28.99,33.33,0.00,0.00
21.6290,18010.97,700.02,10.00,21.74,100.00,0.00,0.00
22.0290,18411.46,500.01,60.00,7.25,50.00,0.00,0.00
22.4290,16609.33,800.02,10.00,43.48,66.67,0.00,0.00
22.8290,20814.65,200.00,10.00,14.49,50.00,0.00,0.00
23.2290,17610.48,700.02,30.00,36.23,66.67,50.00,20.00
23.6290,16208.88,500.01,10.00,7.25,16.67,0.00,0.00
24.0290,14607.21,600.01,70.00,21.74,50.00,0.00,20.00
24.4291,18411.46,800.02,50.00,36.23,16.67,0.00,0.00
24.8291,16208.88,1100.04,10.00,7.25,83.33,0.00,0.00
25.2291,16208.88,800.02,40.00,21.74,83.33,0.00,0.00
25.6291,17210.01,400.01,10.00,14.49,133.33,0.00,0.00
26.0291,15408.03,900.03,0.00,28.99,33.33,0.00,0.00
26.4291,14807.41,600.01,20.00,28.99,50.00,0.00,0.00
26.8291,20213.81,500.01,20.00,21.74,16.67,0.00,0.00
27.2291,15007.62,300.00,40.00,21.74,33.33,0.00,0.00
27.6291,16008.66,700.02,0.00,14.49,116.67,0.00,20.00
28.0291,17410.25,600.01,20.00,14.49,50.00,0.00,0.00
28.4291,14807.41,1000.03,20.00,14.49,66.67,0.00,0.00
28.8291,15808.45,600.01,10.00,36.23,33.33,0.00,0.00
29.2291,18411.46,1000.03,0.00,28.99,50.00,0.00,0.00
29.6291,18010.97,1100.04,10.00,14.49,50.00,0.00,0.00


          Printed:2025-06-04 13:55:30
