D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_41 #20.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 15:23:13 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4290,25822.54,600.01,30.00,21.74,50.00,0.00,20.00
0.8290,21014.93,1200.05,20.00,7.25,16.67,0.00,0.00
1.2290,25021.16,600.01,30.00,21.74,50.00,0.00,0.00
1.6291,24219.83,1000.03,30.00,21.74,33.33,0.00,20.00
2.0290,25421.84,700.02,40.00,7.25,33.33,0.00,0.00
2.4291,20414.09,1000.03,10.00,21.74,66.67,0.00,0.00
2.8291,27225.05,300.00,20.00,14.49,66.67,0.00,0.00
3.2291,19012.22,700.02,10.00,21.74,66.67,50.00,0.00
3.6291,20414.09,500.01,40.00,14.49,66.67,0.00,20.00
4.0291,27024.68,500.01,20.00,0.00,66.67,0.00,40.00
4.4291,21415.50,800.02,20.00,28.99,16.67,0.00,0.00
4.8291,21415.50,600.01,0.00,7.25,83.33,0.00,0.00
5.2291,20213.81,300.00,30.00,28.99,133.33,0.00,0.00
5.6291,23418.54,700.02,0.00,21.74,83.33,0.00,0.00
6.0291,21215.21,400.01,30.00,21.74,33.33,0.00,0.00
6.4291,23618.86,800.02,20.00,7.25,50.00,0.00,0.00
6.8291,37647.88,2700.25,2830.30,3036.58,8836.29,2550.25,2600.26
7.2291,4068340.63,421266.36,2460.23,1246.44,3033.68,4250.70,5341.10
7.6291,6093441.91,546395.07,1120.05,695.67,1433.41,5301.08,4920.93
8.0292,6280712.56,522756.20,690.02,579.72,1316.73,4500.78,4760.87
8.4292,7786240.17,564148.83,780.02,478.27,966.70,4200.68,4220.69
8.8292,5100176.34,491502.59,490.01,384.06,1200.05,4850.90,4320.72
9.2292,4799157.43,600656.93,420.01,442.04,1100.05,5201.04,4580.81
9.6292,6339994.13,555528.91,610.01,456.53,1066.71,4600.81,4820.90
10.0292,5872747.37,554179.20,480.01,318.84,1083.38,6051.41,5181.04
10.4292,8530558.83,633914.16,530.01,369.57,1166.72,4750.87,4480.77
10.8292,5783608.48,574229.10,450.01,355.08,1066.71,5050.98,5341.10
11.2292,6269503.33,576516.26,620.01,376.82,1116.71,5801.29,5661.24
11.6292,7084440.17,562382.91,660.02,463.78,866.70,5351.10,5121.01
12.0292,8877306.32,576724.22,570.01,543.49,900.03,5801.29,4940.94
12.4292,6325931.63,615035.01,560.01,449.28,966.70,5401.12,5341.10
12.8292,7243866.06,573189.55,480.01,442.04,966.70,5501.16,5261.07
13.2292,7028699.70,636106.10,490.01,340.58,950.03,5701.25,5761.28
13.6293,8702391.30,625358.20,690.02,514.50,933.37,5000.96,4900.93
14.0293,7244986.98,634853.52,520.01,442.04,1100.05,5701.25,5841.32
14.4293,7452281.40,594618.12,490.01,391.31,1150.05,6651.70,4760.87
14.8293,6294112.69,618371.04,610.01,405.80,1133.38,6751.75,4660.84
15.2293,6768390.70,542452.69,580.01,355.08,1266.73,6301.53,5181.04
15.6293,8514967.80,632035.60,570.01,434.79,1000.04,6001.39,5881.33
16.0293,7573978.02,577659.96,490.01,297.10,983.37,6751.75,5741.27
16.4293,6710051.73,543490.04,650.02,304.35,950.03,4600.81,4960.95
16.8293,5982190.26,572669.82,680.02,347.83,850.03,5301.08,5621.22
17.2293,5627672.73,530838.96,610.01,420.30,933.37,5651.23,4860.91
17.6293,6736215.10,558124.71,590.01,405.80,833.36,5901.34,4800.89
18.0293,7062072.65,480754.88,370.01,405.80,1000.04,5601.21,5161.03
18.4293,5882886.63,517887.94,600.01,326.09,1033.37,6101.43,5161.03
18.8293,5667949.55,552206.84,640.02,456.53,1316.73,6101.43,4660.84
19.2293,6790376.09,569343.99,590.01,355.08,1266.73,6451.60,5241.06
19.6294,8211503.25,481684.67,470.01,434.79,1116.71,5801.29,5040.98
20.0294,7095267.27,508777.10,420.01,297.10,1016.71,5501.16,5481.16
20.4294,4981154.64,574956.79,570.01,362.32,1066.71,6101.43,5040.98
20.8294,5779379.54,529180.62,580.01,485.52,950.03,6551.65,5181.04
21.2294,5672356.82,485197.71,500.01,355.08,1050.04,6401.58,5541.19
21.6294,7773910.01,491089.06,470.01,384.06,883.36,5601.21,4700.85
22.0294,6226653.48,511157.81,460.01,427.54,933.37,5301.08,4500.78
22.4294,5336716.67,455878.96,610.01,217.39,700.02,6401.58,4280.71
22.8294,7016955.48,501016.60,380.01,282.61,983.37,5801.29,4880.92
23.2294,4904116.63,449073.73,500.01,326.09,866.70,5251.06,4140.66
23.6294,5329889.22,452372.85,430.01,246.38,616.68,5351.10,4580.81
24.0294,5619928.17,451444.87,550.01,449.28,900.03,5351.10,4940.94
24.4294,5372637.17,542348.97,500.01,398.56,1066.71,5101.00,4840.90
24.8294,4077945.08,430426.76,440.01,391.31,950.03,6151.46,5341.10
25.2295,6247747.22,417151.17,380.01,347.83,1033.37,5050.98,4260.70
25.6295,4974658.38,441756.35,580.01,413.05,1000.04,5351.10,4940.94
26.0295,6023384.20,419105.76,430.01,304.35,950.03,4950.94,4380.74
26.4295,5066574.11,483441.06,480.01,434.79,883.36,4500.78,4320.72
26.8295,5118773.48,498534.13,500.01,253.63,933.37,4250.70,4460.77
27.2295,5640920.01,466092.68,500.01,405.80,850.03,6051.41,5281.08
27.6295,4912752.84,444332.47,560.01,246.38,783.36,3950.60,4740.87
28.0295,5467431.63,428470.70,470.01,326.09,733.35,5401.12,3680.52
28.4295,4604346.03,382423.24,390.01,260.87,850.03,5251.06,3900.59
28.8295,5322017.28,392175.88,470.01,289.86,800.02,4250.70,3840.57
29.2295,4823996.08,393202.83,360.00,275.37,683.35,3400.44,4400.75
29.6295,3870421.38,371241.31,440.01,318.84,583.35,3850.57,3760.55


          Printed:2025-06-04 15:23:46
