D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_44A #15.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 13:35:41 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4290,29228.87,700.02,0.00,36.23,16.67,0.00,0.00
0.8290,33237.33,400.01,10.00,57.97,50.00,0.00,0.00
1.2290,31633.81,300.00,20.00,43.48,33.33,0.00,0.00
1.6290,32034.67,1100.04,0.00,50.72,50.00,0.00,0.00
2.0290,34039.15,1000.03,0.00,43.48,50.00,0.00,0.00
2.4290,24820.82,600.01,20.00,43.48,50.00,0.00,0.00
2.8290,25622.19,900.03,10.00,50.72,83.33,0.00,0.00
3.2290,36043.89,800.02,10.00,7.25,66.67,0.00,40.00
3.6291,29228.87,300.00,10.00,36.23,116.67,0.00,0.00
4.0291,26022.89,400.01,20.00,43.48,16.67,50.00,0.00
4.4291,26423.60,700.02,20.00,21.74,100.00,0.00,0.00
4.8291,29429.27,300.00,10.00,50.72,100.00,0.00,0.00
5.2291,33437.78,500.01,10.00,7.25,83.33,0.00,0.00
5.6291,25221.50,900.03,10.00,14.49,100.00,0.00,0.00
6.0291,27425.42,600.01,30.00,21.74,116.67,50.00,0.00
6.4291,25822.54,400.01,20.00,43.48,16.67,0.00,0.00
6.8291,27225.05,300.00,20.00,586.97,4684.16,550.01,460.01
7.2291,1338584.18,106787.49,3780.54,2536.48,4334.05,2800.30,1800.13
7.6291,5533082.08,370010.77,1190.05,724.66,1266.73,3100.37,2040.16
8.0291,6472135.72,607740.09,710.02,347.83,933.37,3250.41,2620.26
8.4291,6205050.23,622124.95,440.01,268.12,450.01,4650.83,1900.14
8.8292,5314986.04,495224.76,300.00,275.37,416.67,4150.66,2040.16
9.2292,6190299.89,496155.42,380.01,217.39,366.67,3850.57,2200.19
9.6292,5802205.62,464441.50,230.00,217.39,616.68,3400.44,2120.17
10.0292,5461139.17,502258.01,240.00,231.89,466.67,4150.66,2380.22
10.4292,6053776.51,539444.68,290.00,210.15,366.67,4500.78,2440.23
10.8292,6372246.15,584628.17,220.00,144.93,433.34,4750.87,1860.13
11.2292,5249513.92,521409.47,230.00,181.16,283.34,3500.47,2180.18
11.6292,6718458.65,497189.60,170.00,181.16,533.34,3900.59,2320.21
12.0292,6151704.46,505465.48,250.00,173.91,433.34,4450.76,2500.24
