D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_10B #35.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 14:45:06 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,28427.31,700.02,0.00,21.74,50.00,0.00,20.00
0.8287,50887.44,700.02,50.00,14.49,16.67,0.00,0.00
1.2287,24019.50,700.02,10.00,36.23,33.33,0.00,20.00
1.6288,28026.54,500.01,40.00,21.74,50.00,0.00,0.00
2.0288,33437.78,300.00,20.00,0.00,116.67,0.00,0.00
2.4288,28026.54,1000.03,10.00,0.00,16.67,50.00,0.00
2.8288,28026.54,700.02,30.00,50.72,83.33,0.00,0.00
3.2288,25221.50,600.01,30.00,14.49,16.67,0.00,0.00
3.6288,26623.96,800.02,10.00,43.48,66.67,0.00,0.00
4.0288,25021.16,500.01,20.00,14.49,33.33,0.00,0.00
4.4288,24019.50,600.01,10.00,36.23,133.33,50.00,0.00
4.8288,24219.83,200.00,0.00,21.74,33.33,0.00,0.00
5.2288,29629.67,800.02,20.00,14.49,100.00,0.00,0.00
5.6288,25421.84,400.01,30.00,43.48,16.67,0.00,0.00
6.0288,23819.18,400.01,20.00,21.74,0.00,0.00,20.00
6.4288,21215.21,700.02,20.00,14.49,50.00,0.00,0.00
6.8288,26423.60,700.02,180.00,826.11,5167.68,3250.41,180.00
7.2289,297769.34,38650.88,3340.42,2261.06,3900.58,4950.94,1160.05
7.6289,2408895.70,246352.44,1240.06,789.88,1600.10,3300.42,1460.08
8.0289,2967543.00,308614.23,490.01,413.05,833.36,3750.54,1660.11
8.4289,3134611.55,311882.30,440.01,224.64,600.01,3350.43,1360.07
8.8289,3214069.74,282801.39,320.00,268.12,450.01,3550.48,1400.08
9.2289,3796644.24,324859.57,230.00,217.39,583.35,4850.90,1860.13
9.6289,3852206.38,392586.65,220.00,210.15,483.34,3750.54,1940.15
10.0289,4107751.45,429706.05,210.00,210.15,383.34,4250.70,2140.18
10.4289,3915589.50,427853.03,270.00,181.16,383.34,4350.73,2180.18
10.8289,4561394.28,480961.52,360.00,159.42,350.00,5050.98,2120.17
11.2289,4250949.43,428161.87,200.00,188.41,350.00,3750.54,2060.16
11.6289,4623605.53,421060.60,250.00,173.91,433.34,4900.92,2060.16
12.0289,4199514.33,445981.45,130.00,130.44,316.67,5050.98,2200.19
12.4289,4962939.64,503189.16,290.00,86.96,200.00,4150.66,1900.14
12.8290,4134271.48,406045.87,190.00,195.65,316.67,3450.46,1800.13
13.2290,4092338.76,410260.79,240.00,159.42,566.68,3800.56,1580.10
13.6290,3980322.83,414682.62,110.00,173.91,366.67,3850.57,2020.16
14.0290,4799565.04,482304.59,240.00,144.93,433.34,3550.48,1760.12
14.4290,4310893.36,426617.82,220.00,181.16,383.34,3650.51,1960.15
14.8290,4174166.17,424971.00,180.00,115.94,350.00,3650.51,2060.16
15.2290,4138143.76,415299.71,170.00,115.94,566.68,4600.81,1920.14
15.6290,4319988.12,445672.27,210.00,166.67,250.00,3400.44,2000.15
16.0290,3952095.94,424559.33,200.00,166.67,383.34,3600.50,1960.15
16.4290,4075091.82,403270.83,200.00,144.93,466.67,4750.87,1840.13
16.8290,4164791.17,474970.90,250.00,123.19,316.67,3500.47,1860.13
17.2290,3626391.25,395359.67,210.00,253.63,300.00,3050.36,1900.14
17.6290,3969775.96,402448.68,150.00,166.67,450.01,4500.78,2080.17
18.0290,4385740.48,438356.54,220.00,108.70,383.34,4950.94,2040.16
18.4291,4052393.12,448145.95,350.00,166.67,400.01,3900.59,1840.13
18.8291,4035808.55,404606.88,240.00,123.19,400.01,4200.68,1680.11
19.2291,4080059.55,419723.05,180.00,260.87,550.01,4400.74,2280.20
19.6291,4279558.45,465267.04,250.00,202.90,433.34,3750.54,1640.10
20.0291,4021898.91,453919.53,190.00,144.93,416.67,4450.76,2320.21
20.4291,3588254.37,412625.78,280.00,188.41,483.34,5201.04,1880.14
20.8291,4068799.36,440004.88,170.00,202.90,316.67,3600.50,2000.15
21.2291,4261852.96,450413.87,220.00,159.42,400.01,4850.90,2740.29
21.6291,4223792.51,477759.33,290.00,123.19,333.34,4750.87,1960.15
22.0291,3420727.26,369087.94,150.00,130.44,400.01,4750.87,2020.16
22.4291,3639765.90,389506.10,250.00,159.42,500.01,4450.76,2560.25
22.8291,4096720.55,485094.38,180.00,159.42,300.00,3700.53,1620.10
23.2291,3479728.60,378318.82,170.00,159.42,350.00,4000.62,2200.19
23.6291,4260884.89,470221.44,300.00,166.67,466.67,3950.60,1820.13
24.0292,3629550.21,411289.01,190.00,195.65,333.34,3350.43,1760.12
24.4292,3278446.41,374523.22,170.00,115.94,583.35,3850.57,2460.23
24.8292,3942873.80,409027.03,160.00,123.19,433.34,3750.54,1860.13
25.2292,3456520.39,391251.66,140.00,173.91,300.00,3650.51,1320.07
25.6292,3316939.94,367857.62,170.00,137.68,283.34,3350.43,1660.11
26.0292,3273606.06,364577.17,220.00,202.90,483.34,3750.54,1900.14
26.4292,3689748.90,416328.27,140.00,101.45,400.01,3650.51,1520.09
26.8292,3175780.01,363347.19,250.00,137.68,216.67,3550.48,1700.11
27.2292,3102283.10,361092.50,200.00,159.42,250.00,3900.59,1700.11
27.6292,3460800.28,395873.27,200.00,108.70,400.01,3100.37,1680.11
28.0292,2965454.01,342964.97,120.00,202.90,266.67,3450.46,2000.15
28.4292,3104015.43,358120.95,140.00,115.94,333.34,3350.43,1280.06
28.8292,2896822.92,321997.46,100.00,108.70,233.34,3550.48,1300.07
29.2292,2799353.53,336313.53,130.00,72.46,300.00,2900.32,1120.05
29.6292,2689757.78,298916.38,120.00,123.19,183.33,2650.27,1540.09


          Printed:2025-06-04 14:45:39
