D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_34 #24.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 12:27:21 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,30631.71,1200.05,30.00,21.74,66.67,0.00,0.00
0.8287,26022.89,1800.11,40.00,57.97,66.67,0.00,0.00
1.2287,29830.07,700.02,60.00,65.22,50.00,0.00,0.00
1.6287,29429.27,600.01,40.00,14.49,0.00,0.00,20.00
2.0287,27826.17,700.02,70.00,43.48,83.33,0.00,20.00
2.4287,30431.29,700.02,50.00,36.23,50.00,0.00,0.00
2.8287,25622.19,100.00,50.00,43.48,116.67,0.00,20.00
3.2287,23418.54,900.03,10.00,21.74,83.33,0.00,0.00
3.6287,23819.18,400.01,40.00,57.97,66.67,0.00,40.00
4.0287,24620.49,900.03,40.00,14.49,83.33,0.00,0.00
4.4287,21415.50,1300.06,0.00,36.23,83.33,0.00,0.00
4.8287,26623.96,300.00,20.00,28.99,150.00,0.00,0.00
5.2287,27826.17,800.02,60.00,28.99,16.67,0.00,0.00
5.6287,25421.84,400.01,40.00,7.25,33.33,0.00,0.00
6.0288,23618.86,600.01,30.00,7.25,133.33,0.00,0.00
6.4288,25622.19,900.03,40.00,28.99,50.00,0.00,0.00
6.8288,24420.16,500.01,380.01,920.32,4217.34,600.01,820.03
7.2288,1761225.78,186883.52,2780.29,1500.09,3133.71,3550.48,1840.13
7.6288,4894359.50,511675.39,1020.04,420.30,1016.71,3150.38,2340.21
8.0288,5061249.72,532393.85,440.01,391.31,833.36,5050.98,2740.29
8.4288,6211852.19,548781.79,300.00,217.39,700.02,4150.66,3020.35
8.8288,5768348.63,499051.27,320.00,239.13,500.01,5351.10,2760.29
9.2288,5159814.56,529906.15,270.00,246.38,616.68,5601.21,2900.32
9.6288,6859083.60,563629.44,330.00,239.13,483.34,5101.00,2660.27
10.0288,6684015.73,577140.09,310.00,173.91,450.01,4350.73,3100.37
10.4288,7342660.18,544008.74,320.00,144.93,483.34,5301.08,2780.30
10.8288,7171362.69,608781.98,270.00,195.65,533.34,5251.06,2800.30
11.2288,5695870.74,542763.92,370.01,217.39,583.35,4150.66,2780.30
11.6289,6264510.12,593993.55,300.00,181.16,516.68,4650.83,2560.25
12.0289,6566675.43,627235.94,280.00,166.67,550.01,5000.96,2800.30
12.4289,6513966.55,581715.67,220.00,181.16,366.67,4550.80,2920.33
12.8289,7438651.99,587645.31,300.00,195.65,600.01,5451.14,3240.41
13.2289,6651763.71,557501.71,330.00,173.91,316.67,5050.98,2900.32
13.6289,6222730.25,560409.47,230.00,188.41,383.34,4900.92,3100.37
