D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_45B #24.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 14:15:18 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4289,15808.45,1100.04,0.00,28.99,66.67,0.00,0.00
0.8289,17410.25,600.01,10.00,0.00,16.67,0.00,20.00
1.2289,21215.21,1700.10,50.00,28.99,0.00,0.00,20.00
1.6289,16809.55,700.02,40.00,21.74,33.33,0.00,0.00
2.0289,18010.97,900.03,20.00,0.00,116.67,50.00,0.00
2.4289,15207.82,400.01,30.00,21.74,33.33,0.00,0.00
2.8289,21215.21,300.00,10.00,7.25,50.00,0.00,0.00
3.2289,15408.03,600.01,70.00,7.25,66.67,0.00,0.00
3.6289,12805.55,500.01,20.00,7.25,66.67,0.00,0.00
4.0289,19212.48,600.01,30.00,21.74,66.67,0.00,0.00
4.4289,14407.02,700.02,30.00,21.74,33.33,0.00,0.00
4.8290,12004.87,300.00,30.00,7.25,66.67,0.00,0.00
5.2290,16809.55,500.01,70.00,7.25,83.33,0.00,20.00
5.6290,16008.66,300.00,20.00,36.23,33.33,0.00,0.00
6.0290,16008.66,300.00,30.00,7.25,16.67,0.00,0.00
6.4290,17009.78,400.01,10.00,7.25,16.67,0.00,0.00
6.8290,27425.42,1900.12,2130.17,2384.27,7418.75,1550.09,1360.07
7.2290,3599491.80,237406.67,2260.19,1362.39,2383.55,3700.53,3620.51
7.6290,6786019.77,518302.20,760.02,391.31,1083.38,3300.42,4080.64
8.0290,7047398.74,610761.82,470.01,289.86,683.35,3650.51,3340.43
8.4290,6201738.41,606802.39,310.00,231.89,450.01,3900.59,4000.62
8.8290,10042506.27,566954.00,250.00,159.42,466.67,4750.87,3600.50
9.2290,6301551.55,533948.88,330.00,144.93,450.01,3500.47,3900.59
9.6290,8751686.46,629426.90,150.00,181.16,416.67,3750.54,2880.32
10.0290,6274522.01,528455.13,310.00,144.93,500.01,3900.59,3200.40
10.4291,6447398.98,684724.22,230.00,108.70,383.34,3450.46,3600.50
10.8291,7358480.48,542971.34,260.00,152.17,500.01,4650.83,3540.48
11.2291,7737785.70,720162.94,220.00,159.42,300.00,4200.68,3140.38
11.6291,5099361.12,695619.53,250.00,115.94,450.01,5251.06,3140.38
12.0291,6237862.71,569655.76,300.00,152.17,416.67,4100.65,3720.53
12.4291,7212047.12,579739.70,210.00,159.42,350.00,4150.66,3440.46
12.8291,5810918.25,545564.99,140.00,166.67,333.34,4150.66,3080.37
13.2291,9871565.44,505879.39,260.00,188.41,416.67,3650.51,3140.38
13.6291,7124615.09,563837.21,160.00,130.44,450.01,3500.47,3160.39
14.0291,6220310.07,583483.94,160.00,224.64,233.34,3750.54,3740.54
14.4291,6981493.54,612741.94,230.00,152.17,450.01,3650.51,3740.54
14.8291,7067524.41,604927.25,260.00,173.91,433.34,3650.51,3640.51
15.2291,7362352.76,476933.06,210.00,123.19,200.00,3450.46,3080.37
15.6291,8078495.49,612429.30,290.00,72.46,400.01,2950.33,3500.47
16.0292,5921583.97,508777.10,250.00,166.67,350.00,4150.66,3400.45
16.4292,5176322.71,491812.74,180.00,159.42,200.00,3400.44,2940.33
16.8292,5351849.13,417459.77,230.00,115.94,250.00,3250.41,2840.31
17.2292,5804192.71,567369.63,220.00,94.20,300.00,4000.62,2780.30
