D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_34 #01.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 12:12:24 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,18010.97,700.02,40.00,43.48,83.33,50.00,40.00
0.8287,14006.63,600.01,60.00,21.74,16.67,0.00,20.00
1.2287,16409.10,1200.05,40.00,50.72,116.67,0.00,0.00
1.6287,16008.66,400.01,20.00,43.48,100.00,0.00,0.00
2.0287,31032.54,1100.04,20.00,21.74,116.67,100.00,0.00
2.4287,14607.21,800.02,30.00,43.48,33.33,0.00,40.00
2.8287,16609.33,900.03,10.00,28.99,150.00,0.00,0.00
3.2287,14407.02,900.03,20.00,21.74,16.67,0.00,0.00
3.6287,17009.78,400.01,10.00,72.46,16.67,0.00,0.00
4.0288,15207.82,900.03,30.00,36.23,33.33,0.00,0.00
4.4288,14407.02,800.02,50.00,0.00,33.33,0.00,0.00
4.8288,17410.25,500.01,20.00,28.99,0.00,0.00,20.00
5.2288,15608.24,500.01,70.00,43.48,16.67,0.00,0.00
5.6288,12805.55,400.01,10.00,50.72,33.33,0.00,0.00
6.0288,13406.08,800.02,50.00,14.49,66.67,0.00,0.00
6.4288,16609.33,500.01,20.00,50.72,66.67,0.00,20.00
6.8288,17810.72,1100.04,2920.32,4131.08,11021.27,1650.10,980.04
7.2288,1390022.17,172306.59,4320.71,2406.02,3867.23,2750.29,1580.10
7.6288,3037320.49,295039.01,1260.06,876.84,1366.74,3150.38,1860.13
8.0288,4033770.50,435987.45,570.01,434.79,716.69,3300.42,1980.15
8.4288,4738321.86,416328.27,440.01,485.52,983.37,3950.60,2180.18
8.8288,4975473.60,479721.88,290.00,376.82,666.68,4250.70,2140.18
9.2288,4683625.89,461139.70,430.01,289.86,683.35,5000.96,2620.26
9.6289,5069656.65,506189.84,380.01,289.86,616.68,4850.90,2780.30
10.0289,5270378.38,520477.25,420.01,282.61,783.36,4500.78,2520.25
10.4289,4883659.78,534571.00,400.01,253.63,550.01,3900.59,2460.23
10.8289,4979345.88,518405.76,300.00,275.37,733.35,4500.78,2040.16
11.2289,4798316.74,450620.07,230.00,217.39,600.01,4050.63,2300.20
11.6289,5152528.56,496258.84,300.00,217.39,783.36,4200.68,2280.20
12.0289,5056918.88,491502.59,300.00,275.37,700.02,4900.92,2580.26
12.4289,5378776.77,538200.20,400.01,297.10,783.36,4800.89,2640.27
12.8289,5091158.00,541519.09,340.00,246.38,566.68,4150.66,2260.20
13.2289,4797603.43,499154.69,250.00,239.13,700.02,4700.85,2660.27
13.6289,4937795.29,581923.73,330.00,268.12,550.01,4050.63,2260.20
14.0289,4816429.85,477862.65,390.01,210.15,550.01,4800.89,2780.30
14.4289,4948214.78,494190.72,310.00,297.10,650.02,4850.90,2080.17
14.8289,5111156.29,527211.52,400.01,231.89,483.34,5251.06,2920.33
15.2290,5089145.43,490882.32,340.00,246.38,333.34,4650.83,2320.21
15.6290,4924165.88,512607.13,300.00,260.87,483.34,3500.47,2440.23
16.0290,4391931.03,467124.76,190.00,210.15,600.01,4000.62,2420.23
16.4290,5025150.89,500706.30,360.00,326.09,533.34,3700.53,2020.16
16.8290,4411954.80,479308.69,330.00,231.89,633.35,4150.66,2460.23
17.2290,4800736.92,483544.38,340.00,289.86,533.34,4300.71,2100.17
17.6290,4573240.40,478275.78,390.01,282.61,700.02,4250.70,2380.22
18.0290,4395268.32,457529.15,330.00,231.89,666.68,4250.70,2460.23
18.4290,4380237.76,473628.52,300.00,318.84,733.35,4350.73,2540.25
18.8290,4753225.05,466402.29,310.00,326.09,483.34,4950.94,2160.18
19.2290,4504125.28,450929.39,280.00,246.38,566.68,4200.68,2360.21
19.6290,4663270.94,493880.52,280.00,282.61,650.02,3850.57,2520.25
20.0290,4829498.79,499465.04,270.00,195.65,516.68,4300.71,1860.13
20.4290,4489018.29,452372.85,250.00,282.61,550.01,4000.62,2120.17
20.8291,4067907.72,426000.24,380.01,304.35,600.01,5000.96,2020.16
21.2291,4398274.44,453610.21,260.00,239.13,566.68,3750.54,1820.13
21.6291,4057106.09,437429.49,340.00,289.86,516.68,3800.56,2100.17
22.0291,4203590.41,426206.10,410.01,202.90,583.35,4000.62,2520.25
22.4291,4259432.78,464338.28,270.00,289.86,583.35,3800.56,2320.21
22.8291,4096440.32,428161.87,250.00,239.13,500.01,5601.21,1960.15
23.2291,4516914.00,475487.26,350.00,246.38,666.68,4450.76,2240.19
23.6291,4041948.15,469911.72,330.00,217.39,850.03,3950.60,2300.20
24.0291,3962311.63,455260.16,480.01,188.41,616.68,4250.70,2140.18
24.4291,4348699.05,448249.02,340.00,268.12,533.34,3750.54,2120.17
24.8291,3894725.04,413037.11,320.00,275.37,766.69,3750.54,2360.21
25.2291,4126883.58,450826.27,300.00,217.39,600.01,4100.65,2080.17
25.6291,4083626.12,488194.78,360.00,246.38,816.69,3600.50,2080.17
26.0292,4008091.17,409541.09,250.00,260.87,566.68,3250.41,2240.19
26.4291,3816617.06,418694.24,200.00,210.15,616.68,3950.60,1700.11
26.8292,3757590.24,414991.16,210.00,159.42,700.02,3250.41,2000.15
27.2292,3945879.91,422809.86,380.01,275.37,583.35,3650.51,1840.13
27.6292,3958643.16,414065.53,280.00,217.39,666.68,4500.78,1920.14
28.0292,4081995.69,423015.67,270.00,217.39,700.02,4500.78,1760.12
28.4292,3787676.85,411597.46,360.00,268.12,633.35,3750.54,2000.15
28.8292,3916404.72,406251.44,380.01,275.37,516.68,4250.70,1920.14
29.2292,4044037.14,451444.87,330.00,195.65,600.01,4550.80,1840.13
29.6292,3875261.73,406971.00,240.00,318.84,700.02,3800.56,1780.12


          Printed:2025-06-04 12:13:21
