D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\B #22.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:13:48 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,15808.45,2100.15,10.00,0.00,33.33,50.00,20.00
0.8287,12205.04,2000.14,20.00,14.49,33.33,0.00,0.00
1.2287,16809.55,2700.25,0.00,21.74,0.00,0.00,0.00
1.6287,13806.45,900.03,10.00,7.25,16.67,0.00,0.00
2.0287,10803.95,1300.06,0.00,7.25,16.67,0.00,0.00
2.4287,13406.08,2000.14,20.00,28.99,33.33,0.00,0.00
2.8287,13806.45,1800.11,0.00,7.25,0.00,0.00,0.00
3.2287,8802.62,900.03,40.00,43.48,33.33,50.00,0.00
3.6287,10203.52,2000.14,30.00,14.49,0.00,0.00,0.00
4.0287,13005.72,1600.09,20.00,21.74,66.67,50.00,60.00
4.4287,13806.45,2500.21,10.00,14.49,33.33,50.00,0.00
4.8287,14206.82,1700.10,10.00,21.74,33.33,0.00,0.00
5.2287,11204.24,2200.17,20.00,14.49,0.00,50.00,0.00
5.6287,10203.52,2200.17,0.00,7.25,16.67,50.00,0.00
6.0287,12605.37,2500.21,10.00,0.00,0.00,0.00,0.00
6.4288,11804.71,1900.12,20.00,340.58,2600.26,100.00,160.00
6.8288,288589.94,7802.08,3990.60,3877.38,13156.56,7652.25,1540.09
7.2288,1209758.69,127754.19,3600.49,2398.77,4800.87,11104.74,2520.25
7.6288,1684620.90,169271.53,1410.08,1065.26,2250.19,12856.35,3260.41
8.0288,2138774.94,213949.73,810.02,623.20,1566.76,14608.20,4300.71
8.4288,2999751.83,254794.90,920.03,565.23,1816.79,15309.01,4000.62
8.8288,2762355.68,259475.93,510.01,478.27,1483.42,19614.79,3820.56
9.2288,3283748.33,223287.43,750.02,492.76,1683.44,16460.42,4240.69
9.6288,7224544.26,323530.66,740.02,471.02,1383.41,18162.68,5060.99
10.0288,14195058.25,263751.20,750.02,514.50,1583.43,20365.94,4200.68
10.4288,10736378.60,261002.69,800.02,579.72,1600.10,18713.46,4660.84
10.8288,7251580.90,400804.57,810.02,492.76,1583.43,16560.54,4820.90
11.2288,4638733.65,296059.28,860.03,565.23,1433.41,18212.75,5321.09
11.6288,2806796.08,317603.15,930.03,572.48,1666.77,18362.96,4640.83
12.0289,2369641.58,274342.94,870.03,384.06,1283.40,19164.12,5201.04
12.4289,2753616.57,330687.72,800.02,579.72,1433.41,19865.17,4000.62
12.8289,8736188.19,304325.98,740.02,536.24,1450.08,18262.82,5641.23
13.2289,4613906.61,257644.07,940.03,529.00,1266.73,21167.22,5000.97
13.6289,3178481.69,295549.15,790.02,434.79,1266.73,17461.72,4420.75
14.0289,10546079.34,408101.78,1200.05,471.02,1816.79,22018.63,5040.98
14.4289,7183008.62,238931.13,500.01,572.48,1516.75,16810.86,4160.67
14.8289,3700792.94,426000.24,570.01,391.31,1216.72,18513.17,5641.23
15.2289,5851534.51,307490.99,870.03,311.60,1300.06,18813.60,5301.08
15.6289,13453325.63,399777.08,1040.04,514.50,1383.41,19514.64,4940.94
16.0289,5219090.52,334062.96,750.02,601.46,1666.77,17211.39,5101.00
