D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\B #6.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:03:36 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,13806.45,1800.11,10.00,21.74,0.00,0.00,0.00
0.8288,12004.87,1800.11,20.00,7.25,0.00,0.00,0.00
1.2288,10803.95,2000.14,0.00,7.25,16.67,50.00,0.00
1.6288,14407.02,1600.09,50.00,7.25,16.67,0.00,0.00
2.0288,14206.82,2200.17,20.00,0.00,50.00,0.00,0.00
2.4288,14807.41,1400.07,10.00,14.49,50.00,0.00,0.00
2.8288,8802.62,1800.11,10.00,14.49,33.33,0.00,0.00
3.2288,13806.45,2900.29,10.00,7.25,50.00,0.00,0.00
3.6288,10403.66,4000.55,0.00,7.25,33.33,0.00,0.00
4.0288,12805.55,1600.09,10.00,14.49,33.33,0.00,0.00
4.4288,10203.52,1700.10,20.00,21.74,33.33,0.00,0.00
4.8288,8602.50,1500.08,0.00,21.74,16.67,0.00,0.00
5.2288,12605.37,2300.18,0.00,7.25,16.67,0.00,0.00
5.6288,17009.78,1800.11,10.00,28.99,66.67,0.00,0.00
6.0289,12805.55,2600.23,0.00,7.25,0.00,0.00,0.00
6.4289,11604.55,1600.09,20.00,7.25,16.67,0.00,20.00
6.8289,47074.84,4900.82,2280.20,3283.02,8686.19,19865.17,4000.62
7.2289,2235569.34,168968.07,3590.49,2579.96,5201.03,25575.13,5040.98
7.6289,4379092.47,320566.60,2010.15,1239.19,2983.67,26176.33,5221.05
8.0289,4360025.31,372779.61,1300.06,666.68,1783.45,26376.73,5601.21
8.4289,4765277.07,395565.11,920.03,572.48,1816.79,23070.45,5561.19
8.8289,5285949.73,392073.17,1010.04,529.00,1583.43,23721.62,5020.97
9.2289,4282763.56,342657.93,860.03,442.04,1266.73,23370.99,5561.19
9.6289,4040228.22,372061.69,690.02,463.78,1383.41,26677.35,6001.39
10.0289,4937204.31,438459.57,710.02,529.00,1316.73,23721.62,5141.02
10.4289,4676470.75,377292.87,690.02,326.09,1566.76,24673.39,6501.63
10.8289,5243520.32,372369.36,730.02,521.75,1600.10,23421.08,5181.04
11.2289,4410026.96,389814.14,750.02,398.56,1333.40,23771.71,5921.35
11.6290,4537364.85,349619.41,660.02,456.53,1233.39,20365.94,5481.16
12.0290,5786785.59,370523.49,720.02,565.23,1366.74,23471.17,5561.19
12.4290,3897721.01,409438.28,700.02,463.78,1333.40,23370.99,5581.20
12.8290,4464447.83,370626.03,600.01,413.05,1383.41,21818.30,5661.24
13.2290,4222334.55,334574.41,580.01,391.31,1216.72,20315.86,4760.87
13.6290,4255602.78,342248.54,590.01,347.83,850.03,19714.94,4180.67
14.0290,3495473.32,382936.38,460.01,536.24,1216.72,21617.96,5441.14
14.4290,4742113.44,423838.92,660.02,289.86,1166.72,21016.98,5301.08
14.8290,4541362.00,326188.60,430.01,355.08,1000.04,18062.54,4900.93
15.2290,3782175.97,313312.30,600.01,420.30,1100.05,20215.71,4820.90
15.6290,3804843.06,345831.13,590.01,297.10,1166.72,18663.39,5060.99
16.0290,4223526.25,329256.03,610.01,369.57,983.37,17561.85,4400.75
16.4290,4058103.68,332119.56,590.01,304.35,1133.38,17862.26,4980.96
16.8290,5664934.48,331096.78,630.02,362.32,933.37,18813.60,5321.09
17.2290,3777384.35,334165.23,530.01,333.34,916.70,18813.60,4820.90
17.6290,3726290.31,342453.22,520.01,289.86,1100.05,20716.49,4680.85
18.0291,3814103.54,328131.23,530.01,297.10,766.69,18212.75,3900.59
18.4291,3445273.05,287797.19,480.01,282.61,833.36,19164.12,3280.42
18.8291,3471192.48,304938.50,550.01,333.34,916.70,18413.03,4360.73
19.2291,3819739.28,335290.48,460.01,268.12,700.02,18212.75,4200.68
19.6291,3779395.34,304428.05,420.01,268.12,966.70,17411.65,4260.70
20.0291,3389834.27,322917.36,490.01,311.60,800.02,19364.41,4400.75
20.4291,3692550.36,332017.26,600.01,376.82,1100.05,19364.41,4140.66
20.8291,3920810.16,305346.88,410.01,333.34,750.02,19114.04,4820.90
21.2291,3289185.45,285248.10,530.01,311.60,900.03,17962.40,4220.69
21.6291,5334536.25,298916.38,510.01,456.53,933.37,22619.66,4800.89
22.0291,3385439.89,302080.22,450.01,304.35,700.02,18062.54,4960.95
22.4291,3953333.58,296671.46,450.01,239.13,716.69,16760.80,4500.78
22.8291,3926818.30,302896.83,410.01,253.63,1100.05,18663.39,4080.64
23.2291,3841462.94,277297.75,370.01,275.37,983.37,17211.39,4500.78
23.6292,3173466.62,346650.15,520.01,297.10,683.35,14708.32,3560.49
24.0292,3494877.47,314231.67,380.01,275.37,816.69,18863.68,4480.77
24.4292,5142176.35,315764.06,520.01,260.87,900.03,17361.59,4060.64
24.8292,6440407.05,280355.05,350.00,253.63,816.69,16710.73,3720.53
25.2292,3556473.36,319238.09,540.01,275.37,750.02,18012.47,3760.55
25.6292,3483829.44,286573.58,460.01,268.12,850.03,18713.46,4360.73
26.0292,3916490.25,316785.74,580.01,217.39,700.02,16360.29,4160.67
26.4292,3339509.86,331199.07,380.01,239.13,916.70,17161.32,4440.76
26.8292,4069524.12,340508.72,450.01,304.35,1133.38,17411.65,3840.57
27.2292,3129274.50,273731.67,580.01,217.39,950.03,15809.61,4440.76
27.6292,3697615.08,331710.42,430.01,275.37,833.36,19514.64,4140.66
